id,name,language,description,watchers,pull_requests,commits,members,issues,bucket,include
27944752,https://api.github.com/repos/rpherbig/dr-scripts,Ruby,A series of Lich (https://lichproject.org/) scripts for use in DragonRealms (http://www.play.net/dr/).,36,1945,6626,1,3560,big,
19611001,https://api.github.com/repos/kontena/kontena,Ruby,"Container platform built to maximize developer happiness. Works on any cloud, easy to setup, simple to use.",1476,1935,10727,0,3359,big,
54802,https://api.github.com/repos/openstreetmap/openstreetmap-website,Ruby,Mirror of the Rails application powering http://www.openstreetmap.org (hosted at git://git.openstreetmap.org/rails.git),1009,979,5551,2,2278,big,x
19181,https://api.github.com/repos/citation-style-language/styles,Ruby,Official repository for Citation Style Language (CSL) citation styles.,1787,3721,6022,7,4286,big,
2812,https://api.github.com/repos/diaspora/diaspora,Ruby,"A privacy-aware, distributed, open source social network.",14539,3413,18333,30,8411,big,
17919,https://api.github.com/repos/spree-contrib/spree_i18n,Ruby,I18n translation files for Spree Commerce.,251,358,716,34,495,popular,
2417769,https://api.github.com/repos/chef-cookbooks/jenkins,Ruby,Development repository for Jenkins Chef cookbook,198,224,616,31,406,popular,
4068,https://api.github.com/repos/jruby/jruby,Ruby,"JRuby, an implementation of Ruby on the JVM",3582,2021,37934,22,5832,popular,x
3829631,https://api.github.com/repos/puppetlabs/puppetlabs-postgresql,Ruby,Puppet module for managing PostgreSQL,235,953,1105,173,1096,popular,x
2812,https://api.github.com/repos/diaspora/diaspora,Ruby,"A privacy-aware, distributed, open source social network.",14539,3413,18333,30,8411,popular,
2367064,https://api.github.com/repos/asciidoctor/asciidoctor,Ruby,":gem: A fast, open source text processor and publishing toolchain, written in Ruby, for converting AsciiDoc content to HTML5, DocBook 5 (or 4.5) and other formats.",2622,1334,3360,38,3312,popular,
11492956,https://api.github.com/repos/rightscale/praxis,Ruby,Praxis is a framework that focuses on both the design and implementation aspects of creating APIs.,257,186,550,85,315,popular,x
7347,https://api.github.com/repos/MarkUsProject/Markus,Ruby,Git repository of MarkUs,229,2506,6519,112,3772,popular,
17589,https://api.github.com/repos/thoughtbot/shoulda-matchers,Ruby,Collection of testing matchers extracted from Shoulda,2638,589,2549,85,1222,popular,
10126,https://api.github.com/repos/puppetlabs/puppetlabs-ntp,Ruby,Puppet module to manage the NTP service,166,487,704,171,519,popular,
16166,https://api.github.com/repos/guard/guard,Ruby,Guard is a command line tool to easily handle events on file system modifications.,6701,369,1429,13,937,medium,x
11713160,https://api.github.com/repos/instedd/nuntium,Ruby,InSTEDD Messaging Platform,3,13,2038,16,42,medium,
12885,https://api.github.com/repos/sferik/rails_admin,Ruby,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,7711,1009,2666,13,3156,medium,
12258,https://api.github.com/repos/plataformatec/devise,Ruby,Flexible authentication solution for Rails with Warden.,21581,1207,3154,27,5102,medium,
976121,https://api.github.com/repos/puzzle/cryptopus,Ruby,"Cryptopus is a ruby on rails web application for storing and sharing passwords and other sensitive data. All data is stored encrypted in a database, safe from third party access.",51,83,1954,10,166,medium,x
352633,https://api.github.com/repos/rapid7/metasploit_data_models,Ruby,"MSF database code, gemified",35,177,1444,32,183,medium,
129845,https://api.github.com/repos/yast/yast-packager,Ruby,YaST module packager,6,436,2396,30,447,medium,
40080,https://api.github.com/repos/concerto/concerto,Ruby,Concerto Digital Signage System,303,400,3609,14,1504,medium,x
17586268,https://api.github.com/repos/rubytogether/rubytogether.org,Ruby,The Ruby Together website,69,112,1651,10,139,medium,
59344,https://api.github.com/repos/travis-ci/travis-hub,Ruby,"Processes Job state updates from Travis Worker, as well as enqueuing Jobs.",70,177,2064,45,187,medium,
2788679,https://api.github.com/repos/jgraichen/decorate-responder,Ruby,A Rails responder to decorate resources.,2,5,25,1,5,small,
112289510,https://api.github.com/repos/K-Sato1995/spell_generator,Ruby,,7,8,24,0,19,small,
28205499,https://api.github.com/repos/bankscrap/bankscrap,Ruby,Ruby gem to extract balance and transactions from banks.,119,21,103,0,33,small,x
79036489,https://api.github.com/repos/lolcommits/lolcommits-yammer,Ruby,Post lolcommits to Yammer,0,2,33,0,2,small,
1378498,https://api.github.com/repos/mutle/fu2,Ruby,private community forum-like software,6,110,701,1,169,small,x
20734148,https://api.github.com/repos/10sr/homebrew-pkg,Ruby,Personal Homebrew Fomulae,0,4,83,0,8,small,
20436328,https://api.github.com/repos/neillturner/kitchen-cloudformation,Ruby,A Test Kitchen Driver for Amazon AWS CloudFormation.,13,2,80,0,6,small,
24000112,https://api.github.com/repos/groonga/fluent-plugin-groonga-query-log,Ruby,A Fluentd plugin for parsing Groonga's query log,0,7,32,0,7,small,
77007565,https://api.github.com/repos/smartsheet-platform/smartsheet-ruby-sdk,Ruby,Library that uses Ruby to connect to Smartsheet services.,4,46,179,1,47,small,
21288210,https://api.github.com/repos/discourse/discourse-solved,Ruby,Allow accepted answers on topics,88,72,183,0,73,small,x
75424982,https://api.github.com/repos/culturagovbr/salic-minc,PHP,,25,1321,13215,0,2106,big,
9316,https://api.github.com/repos/cakephp/cakephp,PHP,CakePHP: The Rapid Development Framework for PHP - Official Repository,9668,7837,32695,19,13587,big,x
18268975,https://api.github.com/repos/open-orchestra/open-orchestra-cms-bundle,PHP,The open orchestra cms bundle,8,1509,9109,0,1654,big,
